run_order,case_id,L_m,phi_deg,d_m,rho_ohm_m,status,elapsed_s,V_min,V_max,V_rms,V_terminal,message
60,72,9.374317,228.898061,0.975506,343.916135,SKIPPED_VALID,NaN,1.04686378588518,24.5869007869667,3.70713427369888,46.085014303382,
61,73,12.981895,103.391434,1.427427,68.08256,SKIPPED_VALID,NaN,0.202648612440738,3.50398365668283,0.697812420749323,6.82195311416732,
62,74,15.99766,164.397855,0.531079,100.744303,SKIPPED_VALID,NaN,0.29089903937023,6.26687646177273,1.09133823455917,9.42614916268731,
63,75,27.431642,171.113164,1.338048,75.895587,SKIPPED_VALID,NaN,0.200413056638392,2.50907690533159,0.722081221304958,4.21966784504333,
64,76,13.316707,207.658228,0.940582,79.031329,SKIPPED_VALID,NaN,0.231686496638522,4.69849352341476,0.840138958767225,8.08337514019152,
65,77,21.240732,275.273385,1.391885,135.015769,SKIPPED_VALID,NaN,0.377882824508402,4.99751556565632,1.33150514837284,9.18525779130166,
66,78,10.274517,339.314197,1.156509,366.975516,SKIPPED_VALID,NaN,1.11511030989921,23.4634138534697,3.87450596571638,45.0377794437484,
67,79,19.753701,135.878084,1.407996,119.390608,SKIPPED_VALID,NaN,0.326710801413412,4.81527688724024,1.18844337241029,8.597477276392,
68,80,17.757161,124.126921,0.867037,1556.844276,SKIPPED_VALID,NaN,4.35482715826622,79.3898104560838,16.2822739546045,127.821906478016,
69,81,18.221071,296.317317,0.569428,172.157197,SKIPPED_VALID,NaN,0.481701421764708,9.79668963643586,1.84024296679901,14.4182849881811,
70,82,27.96107,239.209282,0.823262,468.654494,SKIPPED_VALID,NaN,1.19715114043724,17.6476486238927,4.62076041747368,26.8316202911261,
71,83,27.045939,251.33809,0.510135,1831.259863,SKIPPED_VALID,NaN,4.77549382695164,80.2875464088739,18.5428998157945,112.549362025954,
72,84,9.647934,84.015138,0.999374,713.095523,SKIPPED_VALID,NaN,2.20968425179189,49.2323419675295,7.61857940009005,93.2247408304681,
73,85,19.620435,316.742656,0.664395,158.246524,SKIPPED_VALID,NaN,0.433818360896537,8.01336478526963,1.6651993069818,12.3060500918658,
74,86,26.032996,108.493011,1.358578,572.091496,SKIPPED_VALID,NaN,1.50476887717743,19.5287738686973,5.49814919405657,33.1321218468884,
75,87,20.178557,22.221276,0.885535,65.479914,SKIPPED_VALID,NaN,0.18054908309888,3.04203076157916,0.673456366705927,4.84447264125798,
76,88,29.860839,81.841477,0.989832,85.289653,SKIPPED_VALID,NaN,0.221252339440756,2.91105696524324,0.81392700014969,4.55123095895032,
77,89,15.409649,343.952879,1.135179,178.707112,SKIPPED_VALID,NaN,0.51864131160301,9.06825224719836,1.85093469352346,15.9963842926907,
78,90,28.482066,190.901256,1.057324,149.767851,SKIPPED_VALID,NaN,0.390670301749107,5.17380672806615,1.43954829075022,8.25469226074061,
79,91,27.312843,69.688473,1.444667,144.205812,SKIPPED_VALID,NaN,0.374210252835658,4.64535602819513,1.36728724387005,7.98905614531803,
80,95,24.122665,324.456032,0.578446,1707.226201,SKIPPED_VALID,NaN,4.4998289390455,78.2229790056324,17.5753842248889,113.843915056966,
81,96,28.164204,96.19813,1.149488,838.252873,SKIPPED_VALID,NaN,2.21263668292744,28.4468166203184,8.02364312678879,46.2660692634315,
82,97,14.240495,57.134209,1.165724,453.96529,OK,8189.0114565,1.31508952556789,24.1498257409333,4.72348193899586,43.1326961292472,
83,99,11.226411,78.107523,1.118162,420.904163,OK,6270.2017654,1.27665360297669,25.1693364945598,4.44183102442756,48.3728773241376,
84,100,24.309706,137.385106,0.929347,115.059634,OK,17863.0744799,0.301853830945607,4.51552578562943,1.15343141784371,7.2955613512499,
